data,codigo,processo,qtd,status,deposito_destino
03/12/2024,496935,S Usinagem,286,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032233,S Usinagem,262,ok,
03/12/2024,036174,S Usinagem,252,ok,
03/12/2024,030326,S Usinagem,191,ok,
03/12/2024,491342,S Usinagem,150,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,025473,S Usinagem,147,ok,
03/12/2024,444947,S Usinagem,144,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,443359,S Usinagem,139,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,400245,S Usinagem,124,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,036173,S Usinagem,111,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032365,S Usinagem,110,ok,
03/12/2024,481040,S Usinagem,100,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,034946,S Usinagem,91,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-44,000), Recurso: ""034946 - BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM] (85779419)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""85779420"", Data: ""05/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,025839,S Usinagem,85,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,025073,S Usinagem,83,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035713,S Usinagem,80,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-80,000), Recurso: ""035713 - PARAFUSO LAMINA METISA [ROCAX1800] (89652416)"", Depósito: ""Almox Forjaria (138590)"", Lote: """", Lote ativo: """", Etapa: ""89057901"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,486553,S Usinagem,80,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,444698,S Usinagem,73,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,416009,S Usinagem,69,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,483254,S Usinagem,60,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,028681,S Usinagem,54,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,028877,S Usinagem,47,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032421,S Usinagem,43,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,427986,S Usinagem,41,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,030327,S Usinagem,40,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,025833,S Usinagem,35,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,025472,S Usinagem,34,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,031865,S Usinagem,33,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033109,S Usinagem,29,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,423622,S Usinagem,26,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035815,S Usinagem,24,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,036047,S Usinagem,20,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,443876,S Usinagem,20,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035105,S Usinagem,20,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034682,S Usinagem,18,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,025119,S Usinagem,18,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,423683,S Usinagem,18,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-2,000), Recurso: ""423683 - SUPORTE DA TORRE C/FURO    RX03 (157825)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""89704809"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034737,S Usinagem,18,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035243,S Usinagem,16,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035296,S Usinagem,16,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,026070,S Usinagem,16,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033131,S Usinagem,14,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,417294,S Usinagem,13,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,031213,S Usinagem,11,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035316,S Usinagem,11,ok,Almox Mont Rotativas - Almox Montagem Rotativas
03/12/2024,030338,S Usinagem,11,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035456,S Usinagem,11,ok,
03/12/2024,035367,S Usinagem,11,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034881,S Usinagem,10,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033313,S Usinagem,10,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035407,S Usinagem,10,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,033743,S Usinagem,10,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,032417,S Usinagem,10,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033435,S Usinagem,10,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,033654,S Usinagem,10,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,494720,S Usinagem,10,ok,Almox Tratamento Térmico - Almoxarifado Tratamento Térmico
03/12/2024,032666,S Usinagem,9,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-2,000), Recurso: ""032666 - ESTRUTURA U [GAIOLA KIT INCENDIO - FTC] (77317309)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""77317310"", Data: ""16/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,035468,S Usinagem,8,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035469,S Usinagem,8,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035470,S Usinagem,8,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,450133,S Usinagem,8,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,026021,S Usinagem,8,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035574,S Usinagem,8,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,031243,S Usinagem,7,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032249,S Usinagem,7,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,478090,S Usinagem,6,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,035453,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035308,S Usinagem,6,ok,Almox Mont Rotativas - Almox Montagem Rotativas
03/12/2024,032667,S Usinagem,6,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,033376,S Usinagem,6,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033352,S Usinagem,6,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,035636,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,027065,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034704,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035955,S Usinagem,5,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,032302,S Usinagem,5,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035591,S Usinagem,5,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034705,S Usinagem,5,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034132,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033434,S Usinagem,4,ok,Almox Pintura - Embalagem - Almox Pintura - Embalagem
03/12/2024,031165,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035349,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032299,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033467,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033466,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035489,S Usinagem,4,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,032268,S Usinagem,3,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035305,S Usinagem,3,ok,Almox Mont Rotativas - Almox Montagem Rotativas
03/12/2024,035628,S Usinagem,3,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,417269,S Usinagem,3,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-3,000), Recurso: ""417269 - COMPLEM - HASTE (M03)  ROCAX (157337)"", Depósito: ""Almox Corte e Estamparia (138589)"", Lote: """", Lote ativo: """", Etapa: ""9973368"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,032312,S Usinagem,3,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033823,S Usinagem,3,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,033792,S Usinagem,2,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
